wheel,timestamp,state
right,1588322447.01,0.751349936196
left,1588322447.02,0.748063132575
right,1588322447.02,0.752444107295
right,1588322447.03,0.753515922864
left,1588322447.03,0.749095798447
right,1588322447.04,0.754565839592
left,1588322447.04,0.750107314634
right,1588322447.05,0.755594305068
left,1588322447.05,0.75109811319
right,1588322447.06,0.75660175956
left,1588322447.06,0.752068619423
right,1588322447.07,0.757588629589
left,1588322447.07,0.753019257401
right,1588322447.08,0.758555334943
left,1588322447.08,0.753950438249
right,1588322447.09,0.75950228618
left,1588322447.09,0.754862555861
right,1588322447.1,0.760429887108
left,1588322447.1,0.755755997286
right,1588322447.11,0.761338533859
left,1588322447.11,0.756631150295
right,1588322447.12,0.762228610409
left,1588322447.12,0.75748839763
right,1588322447.13,0.763100495942
left,1588322447.13,0.758328103365
right,1588322447.14,0.763954561911
left,1588322447.14,0.759150624954
right,1588322447.15,0.764791172846
left,1588322447.15,0.759956315696
right,1588322447.16,0.765610680958
left,1588322447.16,0.760745526653
right,1588322447.17,0.766413435116
left,1588322447.17,0.761518593421
right,1588322447.18,0.767199777099
left,1588322447.18,0.762275843788
left,1588322447.19,0.763017601964
right,1588322447.19,0.767970042777
left,1588322447.2,0.763744189979
 right,1588322447.2,0.768724554775
right,1588322447.21,0.76946363464
left,1588322447.21,0.764455914528
right,1588322447.22,0.770187597227
left,1588322447.22,0.76515307651
right,1588322447.23,0.770896752419
left,1588322447.23,0.76583597574
right,1588322447.24,0.771591396803
left,1588322447.24,0.766504909016
right,1588322447.25,0.7722718274
left,1588322447.25,0.767160160148
right,1588322447.26,0.772938334077
left,1588322447.26,0.767802006669
right,1588322447.27,0.773591201529
left,1588322447.27,0.76843072376
right,1588322447.28,0.774230701654
left,1588322447.28,0.769046583064
right,1588322447.29,0.7748571085
left,1588322447.29,0.769649844513
right,1588322447.3,0.77547068937
left,1588322447.3,0.770240763916
left,1588322447.31,0.770819595664
right,1588322447.31,0.776071705476
left,1588322447.32,0.771386586441
right,1588322447.32,0.776660406606
right,1588322447.33,0.777237045691
left,1588322447.33,0.771941973525
right,1588322447.34,0.777801870642
left,1588322447.34,0.772485994335
left,1588322447.35,0.773018886424
right,1588322447.35,0.778355119031
left,1588322447.36,0.773540874034
right,1588322447.36,0.778897023409
left,1588322447.37,0.7740521775
right,1588322447.37,0.779427816976
left,1588322447.38,0.77455301594
right,1588322447.38,0.779947728207
left,1588322447.39,0.775043607882
right,1588322447.39,0.780456972591
right,1588322447.4,0.780955766568
 left,1588322447.4,0.775524155774
left,1588322447.41,0.775994863838
right,1588322447.41,0.78144432514
left,1588322447.42,0.776455936413
right,1588322447.42,0.781922858377
left,1588322447.43,0.776907570847
right,1588322447.43,0.782391562449
right,1588322447.44,0.782850638684
left,1588322447.44,0.777349950641
right,1588322447.45,0.783300287153
left,1588322447.45,0.777783266533
right,1588322447.46,0.783740697541
left,1588322447.46,0.778207711506
right,1588322447.47,0.784172051962
 left,1588322447.47,0.778623460472
left,1588322447.48,0.779030685727
right,1588322447.48,0.78459453808
right,1588322447.49,0.78500834034
left,1588322447.49,0.779429566073
right,1588322447.5,0.78541362906
left,1588322447.5,0.77982027746
right,1588322447.51,0.785810574106
left,1588322447.51,0.780202974792
right,1588322447.52,0.786199350933
left,1588322447.52,0.780577820496
left,1588322447.53,0.78094498466
right,1588322447.53,0.786580126304
right,1588322447.54,0.786953055838
left,1588322447.54,0.781304620414
right,1588322447.55,0.787318298648
left,1588322447.55,0.781656869005
right,1588322447.56,0.787676018211
 left,1588322447.56,0.782001885774
left,1588322447.57,0.782339829083
right,1588322447.57,0.788026363871
left,1588322447.58,0.782670831469
right,1588322447.58,0.788369479371
right,1588322447.59,0.788705515787
left,1588322447.59,0.782995027449
left,1588322447.6,0.783312568401
right,1588322447.6,0.78903462187
left,1588322447.61,0.783623590985
right,1588322447.61,0.789356931967
left,1588322447.62,0.783928213814
right,1588322447.62,0.789672579808
left,1588322447.63,0.784226567107
right,1588322447.63,0.789981708627
left,1588322447.64,0.784518793857
right,1588322447.64,0.79028445062
right,1588322447.65,0.790580929315
left,1588322447.65,0.784805008809
